S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
570,LANDED HOUSING DEVELOPMENT,KING'S ROAD,Semi-detached,10,CCR,Freehold,Resale,1,5600000,-,3524,Land,-,1589,Oct-17
571,KING'S GARDEN,KING'S CLOSE,Semi-detached,10,CCR,999 yrs lease commencing from 1875,Resale,1,6130000,-,4362,Land,-,1405,Oct-17
572,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4200000,-,2293,Land,-,1832,Oct-17
573,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4200000,-,2293,Land,-,1832,Oct-17
574,LANDED HOUSING DEVELOPMENT,YUK TONG AVENUE,Terrace,21,RCR,Freehold,Resale,1,2690000,-,1804,Land,-,1491,Oct-17
575,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4522000,-,2680,Land,-,1687,Oct-17
576,LANDED HOUSING DEVELOPMENT,MOONBEAM TERRACE,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,5300000,-,3623,Land,-,1463,Oct-17
577,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE DRIVE,Semi-detached,10,CCR,Freehold,Resale,1,4550000,-,3173,Land,-,1434,Oct-17
578,PRINCESS OF WALES PARK,PRINCESS OF WALES ROAD,Semi-detached,10,CCR,Freehold,Resale,1,8000000,-,4857,Land,-,1647,Oct-17
579,HIGHGATE,HIGHGATE CRESCENT,Terrace,21,RCR,Freehold,Resale,1,2700000,-,1784,Land,-,1514,Oct-17
580,HIGHGATE,HIGHGATE CRESCENT,Semi-detached,21,RCR,Freehold,Resale,1,4480000,-,4626,Land,-,968,Oct-17
581,ENG KONG PARK,ENG KONG GARDEN,Semi-detached,21,RCR,Freehold,Resale,1,5250000,-,3686,Land,-,1424,Oct-17
582,CHWEE CHIAN VIEW,CHWEE CHIAN VIEW,Terrace,5,RCR,Freehold,Resale,1,2500000,-,1885,Land,-,1326,Oct-17
583,LANDED HOUSING DEVELOPMENT,CORONATION ROAD,Semi-detached,10,CCR,Freehold,Resale,1,5780000,-,5358,Land,-,1079,Oct-17
584,LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,Semi-detached,10,CCR,Freehold,Resale,1,7200000,-,3179,Land,-,2265,Oct-17
585,LANDED HOUSING DEVELOPMENT,MING TECK PARK,Terrace,10,CCR,999 yrs lease commencing from 1876,Resale,1,2900000,-,2207,Land,-,1314,Oct-17
586,UNIQUE GARDEN,TOH YI DRIVE,Semi-detached,21,RCR,99 yrs lease commencing from 1972,Resale,1,1750000,-,4347,Land,-,403,Oct-17
587,LANDED HOUSING DEVELOPMENT,HOLLAND GROVE LANE,Detached,10,CCR,Freehold,Resale,1,11500000,-,8504,Land,-,1352,Oct-17
588,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4563000,-,2745,Land,-,1662,Oct-17
589,LANDED HOUSING DEVELOPMENT,ENG KONG PLACE,Terrace,21,RCR,Freehold,Resale,1,2870000,-,1979,Land,-,1450,Oct-17
590,LANDED HOUSING DEVELOPMENT,LORONG PISANG BATU,Semi-detached,21,RCR,Freehold,Resale,1,3800000,-,2959,Land,-,1284,Oct-17
591,LANDED HOUSING DEVELOPMENT,LOTUS AVENUE,Semi-detached,10,CCR,Freehold,Resale,1,5300000,-,3502,Land,-,1514,Oct-17
592,THE VILLAS @ SENTOSA COVE,OCEAN DRIVE,Terrace,4,CCR,99 yrs lease commencing from 2005,Resale,1,5080000,-,2731,Land,-,1860,Oct-17
593,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,12300000,-,7987,Land,-,1540,Sep-17
594,ENG KONG GREEN,ENG KONG TERRACE,Semi-detached,21,RCR,Freehold,Resale,1,3908000,-,2387,Land,-,1637,Sep-17
595,CHENG SOON GARDEN,CHENG SOON GARDEN,Terrace,21,RCR,Freehold,Resale,1,2665000,-,2016,Land,-,1322,Sep-17
596,LANDED HOUSING DEVELOPMENT,JALAN KAMPONG CHANTEK,Detached,21,RCR,Freehold,Resale,1,9000000,-,8105,Land,-,1110,Sep-17
597,LANDED HOUSING DEVELOPMENT,JALAN SELANTING,Semi-detached,21,RCR,Freehold,Resale,1,3600000,-,2792,Land,-,1289,Sep-17
598,LANDED HOUSING DEVELOPMENT,NASSIM ROAD,Detached,10,CCR,Freehold,Resale,1,23688000,-,13292,Land,-,1782,Sep-17
599,LANDED HOUSING DEVELOPMENT,JALAN MAS KUNING,Terrace,5,OCR,Freehold,Resale,1,3000000,-,2462,Land,-,1219,Sep-17
600,BAN GUAN PARK,GREENLEAF VIEW,Semi-detached,10,CCR,Freehold,Resale,1,5398880,-,3589,Land,-,1504,Sep-17
601,LANDED HOUSING DEVELOPMENT,YUK TONG AVENUE,Terrace,21,RCR,Freehold,Resale,1,2780000,-,1532,Land,-,1815,Sep-17
602,LANDED HOUSING DEVELOPMENT,KING'S ROAD,Semi-detached,10,CCR,Freehold,Resale,1,5120000,-,2713,Land,-,1888,Sep-17
603,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,Semi-detached,10,CCR,Freehold,New Sale,1,5300000,-,2153,Land,-,2462,Sep-17
604,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,8600000,-,6135,Land,-,1402,Sep-17
605,LANDED HOUSING DEVELOPMENT,JERVOIS ROAD,Terrace,10,CCR,Freehold,Resale,1,4800000,-,2268,Land,-,2116,Sep-17
606,LANDED HOUSING DEVELOPMENT,NAMLY PLACE,Terrace,10,CCR,Freehold,Resale,1,4950000,-,1799,Land,-,2752,Sep-17
607,WEST COAST GARDENS,WEST COAST GREEN,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,3700000,-,3815,Land,-,970,Sep-17
608,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,Semi-detached,21,RCR,999 yrs lease commencing from 1879,Resale,1,6018000,-,3998,Land,-,1505,Sep-17
609,LANDED HOUSING DEVELOPMENT,JALAN HAJI ALIAS,Semi-detached,10,CCR,Freehold,Resale,1,4950000,-,3634,Land,-,1362,Sep-17
610,LANDED HOUSING DEVELOPMENT,BUKIT TERESA ROAD,Terrace,4,RCR,Freehold,Resale,1,2838000,-,1919,Land,-,1479,Sep-17
611,LANDED HOUSING DEVELOPMENT,SUNSET GROVE,Detached,21,OCR,Freehold,Resale,1,8700000,-,7244,Land,-,1201,Sep-17
612,SAVOY PARK,ENG KONG DRIVE,Terrace,21,RCR,Freehold,Resale,1,2500000,-,1902,Land,-,1314,Sep-17
613,SENTOSA COVE,TREASURE ISLAND,Detached,4,CCR,99 yrs lease commencing from 2006,Resale,1,20000000,-,11285,Land,-,1772,Sep-17
614,LANDED HOUSING DEVELOPMENT,ENG KONG PLACE,Terrace,21,RCR,Freehold,Resale,1,2500000,-,1975,Land,-,1266,Sep-17
615,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4670000,-,2164,Land,-,2158,Sep-17
616,GOLDEN RISE ESTATE,LORONG KISMIS,Terrace,21,RCR,Freehold,Resale,1,2650000,-,2211,Land,-,1199,Sep-17
617,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,8280000,-,5694,Land,-,1454,Sep-17
618,MCMAHON PARK,HOLLAND ROAD,Semi-detached,10,CCR,999 yrs lease commencing from 1877,Resale,1,5000000,-,2733,Land,-,1830,Sep-17
619,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4352000,-,2250,Land,-,1935,Sep-17
620,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4010000,-,2293,Land,-,1749,Aug-17
621,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4280000,-,2669,Land,-,1603,Aug-17
622,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,5052000,-,3035,Land,-,1664,Aug-17
623,OCEAN 8,OCEAN DRIVE,Terrace,4,CCR,99 yrs lease commencing from 2005,Resale,1,6500000,-,3663,Land,-,1775,Aug-17
624,LANDED HOUSING DEVELOPMENT,JALAN TUPAI,Semi-detached,10,CCR,Freehold,Resale,1,9562500,-,4251,Land,-,2250,Aug-17
625,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4124000,-,2314,Land,-,1782,Aug-17
626,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3980000,-,2217,Land,-,1795,Aug-17
627,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4609000,-,2551,Land,-,1807,Aug-17
628,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4619000,-,2616,Land,-,1766,Aug-17
629,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4080000,-,2390,Land,-,1707,Aug-17
630,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4200000,-,2400,Land,-,1750,Aug-17
631,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4124000,-,2282,Land,-,1807,Aug-17
632,LANDED HOUSING DEVELOPMENT,SIXTH AVENUE,Semi-detached,10,CCR,999 yrs lease commencing from 1876,Resale,1,3868000,-,3831,Land,-,1010,Aug-17
633,LANDED HOUSING DEVELOPMENT,FIRST AVENUE,Semi-detached,10,CCR,Freehold,Resale,1,4770000,-,2146,Land,-,2222,Aug-17
634,DRAGON VIEW PARK,JALAN MUTIARA,Terrace,10,CCR,Freehold,Resale,1,5400000,-,2369,Land,-,2279,Aug-17
635,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3970000,-,2185,Land,-,1817,Aug-17
636,LANDED HOUSING DEVELOPMENT,WEST COAST ROAD,Terrace,5,OCR,99 yrs lease commencing from 1995,Resale,1,2550000,-,2888,Land,-,883,Aug-17
637,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4227000,-,2250,Land,-,1879,Aug-17
638,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3990000,-,2153,Land,-,1853,Aug-17
639,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,Semi-detached,10,CCR,Freehold,New Sale,1,5200000,-,2153,Land,-,2415,Aug-17
640,EDEN PARK,CYPRESS AVENUE,Detached,10,CCR,Freehold,Resale,1,9300000,-,5211,Land,-,1785,Aug-17
641,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4021000,-,2217,Land,-,1813,Aug-17
642,MCMAHON PARK,HOLLAND ROAD,Detached,10,CCR,999 yrs lease commencing from 1877,Resale,1,7550000,-,4623,Land,-,1633,Aug-17
643,MOUNT SINAI,MOUNT SINAI CRESCENT,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,6800000,-,3525,Land,-,1929,Aug-17
644,LANDED HOUSING DEVELOPMENT,HUA GUAN AVENUE,Detached,21,RCR,999 yrs lease commencing from 1879,Resale,1,12800000,-,9598,Land,-,1334,Aug-17
645,LANDED HOUSING DEVELOPMENT,MARYLAND DRIVE,Detached,10,CCR,999 yrs lease commencing from 1877,Resale,1,20980000,-,11450,Land,-,1832,Aug-17
646,LANDED HOUSING DEVELOPMENT,WHITLEY ROAD,Semi-detached,10,CCR,Freehold,New Sale,1,5480000,-,2153,Land,-,2546,Aug-17
647,LANDED HOUSING DEVELOPMENT,GREENLEAF DRIVE,Semi-detached,10,CCR,Freehold,Resale,1,5280000,-,3676,Land,-,1436,Aug-17
648,CHIP HOCK GARDENS,FARRER ROAD,Terrace,10,CCR,Freehold,Resale,1,4500000,-,2510,Land,-,1793,Aug-17
649,HONG KONG PARK,HUA GUAN AVENUE,Semi-detached,21,RCR,999 yrs lease commencing from 1879,Resale,1,6318600,-,3323,Land,-,1902,Aug-17
650,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4062000,-,2153,Land,-,1887,Aug-17
651,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4042000,-,2153,Land,-,1878,Aug-17
652,LANDED HOUSING DEVELOPMENT,NAMLY CRESCENT,Detached,10,CCR,Freehold,Resale,1,9500000,-,7849,Land,-,1210,Aug-17
653,LANDED HOUSING DEVELOPMENT,NAMLY GROVE,Detached,10,CCR,Freehold,Resale,1,10900000,-,7737,Land,-,1409,Aug-17
654,LANDED HOUSING DEVELOPMENT,THAM SOONG AVENUE,Semi-detached,21,RCR,Freehold,Resale,1,3580000,-,3267,Land,-,1096,Aug-17
655,KINGSVILLE,KING'S DRIVE,Semi-detached,10,CCR,102 yrs lease commencing from 1996,Resale,1,3000000,-,2404,Land,-,1248,Aug-17
656,LANDED HOUSING DEVELOPMENT,GREENLEAF LANE,Semi-detached,10,CCR,Freehold,Resale,1,5700000,-,4182,Land,-,1363,Aug-17
657,LANDED HOUSING DEVELOPMENT,FABER TERRACE,Terrace,5,OCR,Freehold,Resale,1,3200000,-,2241,Land,-,1428,Aug-17
658,LANDED HOUSING DEVELOPMENT,ONE TREE HILL,Semi-detached,10,CCR,Freehold,Resale,1,9280000,-,4520,Land,-,2053,Aug-17
659,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4320000,-,2336,Land,-,1849,Aug-17
660,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4011000,-,2153,Land,-,1863,Aug-17
661,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4258000,-,2282,Land,-,1866,Aug-17
662,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4800000,-,2863,Land,-,1676,Aug-17
663,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4176000,-,2239,Land,-,1865,Aug-17
664,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4238000,-,2271,Land,-,1866,Aug-17
665,LANDED HOUSING DEVELOPMENT,CHUN TIN ROAD,Semi-detached,21,RCR,Freehold,Resale,1,4200000,-,3895,Land,-,1078,Aug-17
666,LANDED HOUSING DEVELOPMENT,MOONBEAM WALK,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,5500000,-,3937,Land,-,1397,Aug-17
667,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4351000,-,2465,Land,-,1765,Aug-17
668,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4238000,-,2271,Land,-,1866,Aug-17
669,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4248000,-,2282,Land,-,1862,Aug-17
670,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4351000,-,2476,Land,-,1757,Jul-17
671,HOLLAND GARDENS,MOONBEAM WALK,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,6900000,-,3991,Land,-,1729,Jul-17
672,WEST COAST GARDENS,WEST COAST TERRACE,Terrace,5,OCR,956 yrs lease commencing from 1928,Resale,1,2900000,-,2915,Land,-,995,Jul-17
673,LANDED HOUSING DEVELOPMENT,BALMEG HILL,Detached,5,RCR,Freehold,Resale,1,12300000,-,13393,Land,-,918,Jul-17
674,LANDED HOUSING DEVELOPMENT,LAKESHORE VIEW,Detached,4,CCR,99 yrs lease commencing from 2005,Resale,1,15500000,-,8576,Land,-,1807,Jul-17
675,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4299000,-,2336,Land,-,1840,Jul-17
676,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4500000,-,2939,Land,-,1531,Jul-17
677,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3970000,-,2207,Land,-,1799,Jul-17
678,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4062000,-,2153,Land,-,1887,Jul-17
679,GREENRIDGE,GREENRIDGE CRESCENT,Terrace,21,RCR,Freehold,Resale,1,3700000,-,3876,Land,-,955,Jul-17
680,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4083000,-,2288,Land,-,1784,Jul-17
681,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4083000,-,2283,Land,-,1788,Jul-17
682,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4423000,-,2414,Land,-,1832,Jul-17
683,LANDED HOUSING DEVELOPMENT,CORONATION ROAD WEST,Semi-detached,10,CCR,Freehold,Resale,1,6600000,-,4791,Land,-,1378,Jul-17
684,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,6000000,-,3787,Land,-,1584,Jul-17
685,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4052000,-,2153,Land,-,1882,Jul-17
686,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4289000,-,2300,Land,-,1865,Jul-17
687,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3908000,-,2153,Land,-,1815,Jul-17
688,LANDED HOUSING DEVELOPMENT,MOUNT SINAI AVENUE,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,5180000,-,3495,Land,-,1482,Jul-17
689,LANDED HOUSING DEVELOPMENT,JALAN KAKATUA,Semi-detached,21,RCR,Freehold,Resale,1,3970000,-,3055,Land,-,1300,Jul-17
690,LANDED HOUSING DEVELOPMENT,FABER DRIVE,Semi-detached,5,OCR,Freehold,Resale,1,4812000,-,5133,Land,-,937,Jul-17
691,RIDGEVALE GARDENS,UPPER BUKIT TIMAH VIEW,Semi-detached,21,RCR,Freehold,Resale,1,3450000,-,2373,Land,-,1454,Jul-17
692,LANDED HOUSING DEVELOPMENT,CLUNY PARK ROAD,Semi-detached,10,CCR,Freehold,Resale,1,7318000,-,3702,Land,-,1977,Jul-17
693,PASIR PANJANG GARDENS,TAMAN MAS MERAH,Terrace,5,OCR,Freehold,Resale,1,2360000,-,1496,Land,-,1577,Jul-17
694,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,5880000,-,3517,Land,-,1672,Jul-17
695,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4011000,-,2153,Land,-,1863,Jul-17
696,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4516000,-,2500,Land,-,1806,Jul-17
697,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4135000,-,2175,Land,-,1901,Jul-17
698,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,5073000,-,2976,Land,-,1704,Jul-17
699,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4382000,-,2352,Land,-,1863,Jul-17
700,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4062000,-,2153,Land,-,1887,Jul-17
701,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4145000,-,2316,Land,-,1789,Jul-17
702,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4238000,-,2272,Land,-,1865,Jul-17
703,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3908000,-,2153,Land,-,1815,Jul-17
704,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3980000,-,2221,Land,-,1792,Jul-17
705,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4299000,-,2312,Land,-,1859,Jul-17
706,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,5031000,-,3095,Land,-,1626,Jul-17
707,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4732000,-,2674,Land,-,1770,Jul-17
708,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,5062000,-,2960,Land,-,1710,Jul-17
709,LANDED HOUSING DEVELOPMENT,GREENLEAF ROAD,Detached,10,CCR,Freehold,Resale,1,9400000,-,6163,Land,-,1525,Jul-17
710,LANDED HOUSING DEVELOPMENT,JALAN SIANTAN,Semi-detached,10,CCR,Freehold,Resale,1,6800000,-,4521,Land,-,1504,Jul-17
711,HUA GUAN GARDENS,HUA GUAN CRESCENT,Terrace,21,RCR,999 yrs lease commencing from 1883,Resale,1,4500000,-,4174,Land,-,1078,Jul-17
712,WEST POINT PEARL GARDEN,WEST COAST ROAD,Detached,5,OCR,Freehold,Resale,1,5180000,-,5224,Land,-,992,Jul-17
713,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,Detached,4,CCR,99 yrs lease commencing from 2008,Resale,1,11288000,-,7011,Land,-,1610,Jul-17
714,HENRY PARK,MOUNT SINAI LANE,Detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,8900000,-,6327,Land,-,1407,Jul-17
715,HIGHGATE,HIGHGATE CRESCENT,Terrace,21,RCR,Freehold,Resale,1,3250000,-,2551,Land,-,1274,Jul-17
716,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4340000,-,2677,Land,-,1621,Jul-17
717,LANDED HOUSING DEVELOPMENT,SUNSET PLACE,Detached,21,OCR,Freehold,Resale,1,9250000,-,7210,Land,-,1283,Jul-17
718,HUA GUAN GARDENS,HUA GUAN AVENUE,Terrace,21,RCR,999 yrs lease commencing from 1883,Resale,1,3300000,-,1737,Land,-,1899,Jul-17
719,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,4020000,-,2296,Land,-,1751,Jun-17
720,LANDED HOUSING DEVELOPMENT,WHITE HOUSE PARK,Detached,10,CCR,Freehold,Resale,1,22000000,-,15330,Land,-,1435,Jun-17
721,LANDED HOUSING DEVELOPMENT,COVE DRIVE,Detached,4,CCR,99 yrs lease commencing from 2006,Resale,1,14000000,-,9689,Land,-,1445,Jun-17
722,GREENBANK PARK,GREENBANK PARK,Semi-detached,21,RCR,Freehold,Resale,1,6300000,-,3982,Land,-,1582,Jun-17
723,LANDED HOUSING DEVELOPMENT,HOLLAND ROAD,Semi-detached,10,CCR,Freehold,Resale,1,4610000,-,2911,Land,-,1584,Jun-17
724,LANDED HOUSING DEVELOPMENT,GALLOP PARK,Detached,10,CCR,Freehold,Resale,1,22888000,-,17043,Land,-,1343,Jun-17
725,LANDED HOUSING DEVELOPMENT,WEST COAST VIEW,Terrace,5,OCR,Freehold,Resale,1,2200000,-,2167,Land,-,1015,Jun-17
726,DUKE'S GARDEN,PRINCESS OF WALES ROAD,Semi-detached,10,CCR,999 yrs lease commencing from 1875,Resale,1,6400000,-,3820,Land,-,1675,Jun-17
727,HOLLAND GARDENS,MOONBEAM VIEW,Semi-detached,10,CCR,999 yrs lease commencing from 1885,Resale,1,5700000,-,3505,Land,-,1626,Jun-17
728,LANDED HOUSING DEVELOPMENT,PEARL ISLAND,Detached,4,CCR,99 yrs lease commencing from 2008,Resale,1,16550000,-,8940,Land,-,1851,Jun-17
729,QUEEN ASTRID PARK,QUEEN ASTRID PARK,Detached,10,CCR,999 yrs lease commencing from 1876,Resale,1,46000000,-,29710,Land,-,1548,Jun-17
730,THE CLEMENTVALE,MAS KUNING TERRACE,Terrace,5,OCR,99 yrs lease commencing from 1997,Resale,1,1868000,-,2158,Land,-,866,Jun-17
731,AIRVIEW PARK,YUK TONG AVENUE,Terrace,21,RCR,Freehold,Resale,1,3600000,-,1700,Land,-,2118,Jun-17
732,VICTORIA PARK VILLAS,VICTORIA PARK GROVE,Semi-detached,10,CCR,99 yrs lease commencing from 2013,New Sale,1,3990000,-,2324,Land,-,1717,Jun-17
733,HIGHGATE,HIGHGATE CRESCENT,Terrace,21,RCR,Freehold,Resale,1,2988000,-,1784,Land,-,1675,Jun-17
734,LANDED HOUSING DEVELOPMENT,LEEDON PARK,Detached,10,CCR,Freehold,Resale,1,40880000,-,31211,Land,-,1310,Jun-17
735,LANDED HOUSING DEVELOPMENT,TOH TUCK TERRACE,Detached,21,RCR,Freehold,Resale,1,6700000,-,4994,Land,-,1341,Jun-17
736,LANDED HOUSING DEVELOPMENT,COVE GROVE,Detached,4,CCR,99 yrs lease commencing from 2009,Resale,1,16600000,-,9725,Land,-,1707,Jun-17
737,KING'S GARDEN,KING'S WALK,Detached,10,CCR,999 yrs lease commencing from 1875,Resale,1,8200000,-,8391,Land,-,977,Jun-17
