S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
11362,SPRINGDALE CONDOMINIUM,HINDHEDE WALK,Condominium,21,OCR,999 yrs lease commencing from 1877,Resale,1,1080000,-,1109,Strata,06 to 10,974,Sep-17
11363,VOLARI,BALMORAL ROAD,Condominium,10,CCR,Freehold,Resale,1,2580000,-,1324,Strata,06 to 10,1949,Sep-17
11364,THREE BALMORAL,BALMORAL ROAD,Apartment,10,CCR,Freehold,Resale,1,3375800,-,1528,Strata,06 to 10,2209,Sep-17
11365,THE PEAK,PEPYS ROAD,Condominium,5,RCR,Freehold,Resale,1,6000000,-,5500,Strata,01 to 05,1091,Sep-17
11366,THE PEAK@BALMEG,BALMEG HILL,Condominium,5,RCR,Freehold,Resale,1,2050000,-,1722,Strata,01 to 05,1190,Sep-17
11367,CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 yrs lease commencing from 1999,Resale,1,1800000,-,1206,Strata,01 to 05,1493,Sep-17
11368,ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1740000,-,904,Strata,31 to 35,1924,Sep-17
11369,ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,New Sale,1,2080000,-,1044,Strata,36 to 40,1992,Sep-17
11370,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1681800,-,1033,Strata,11 to 15,1628,Sep-17
11371,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1672800,-,1033,Strata,06 to 10,1619,Sep-17
11372,THE CLEMENT CANOPY,CLEMENTI AVENUE 1,Apartment,5,OCR,99 yrs lease commencing from 2016,New Sale,1,1107000,-,710,Strata,26 to 30,1558,Sep-17
11373,ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2013,New Sale,1,2010000,-,1044,Strata,31 to 35,1925,Sep-17
11374,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1315000,1310000,764,Strata,11 to 15,1714,Sep-17
11375,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,855000,850000,484,Strata,11 to 15,1755,Sep-17
11376,PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 yrs lease commencing from 2015,New Sale,1,879060,-,710,Strata,16 to 20,1237,Sep-17
11377,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1711800,-,1033,Strata,26 to 30,1657,Sep-17
11378,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1661200,-,904,Strata,41 to 45,1837,Sep-17
11379,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,2159000,-,1302,Strata,31 to 35,1658,Sep-17
11380,ARTRA,ALEXANDRA VIEW,Apartment,3,RCR,99 yrs lease commencing from 2016,New Sale,1,1437999,-,829,Strata,16 to 20,1735,Sep-17
11381,HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 yrs lease commencing from 2013,New Sale,1,1895000,-,1109,Strata,01 to 05,1709,Sep-17
11382,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 yrs lease commencing from 2014,New Sale,1,1286000,1281000,764,Strata,06 to 10,1676,Sep-17
